SiteCode	Year	paramDB	paramWeb	paramDisplayLabel	onlineNames	onlineData
GDW	2014	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2013	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2012	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2011	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2010	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2009	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2008	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2007	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2006	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2005	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2004	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2003	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2002	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2001	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2000	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	1999	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	1998	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	1997	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	1996	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	1995	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	1994	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	1993	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	1992	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	1991	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	1990	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	1989	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	1988	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2022	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2021	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2020	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2019	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2018	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2017	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2016	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2015	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2014	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2013	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2012	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2011	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2010	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2009	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2008	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2007	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2006	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2005	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2004	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2003	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2002	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2001	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	2000	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	1999	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	1998	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	1997	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	1996	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	1995	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	1994	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	1993	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	1992	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	1991	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	1990	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	1989	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	1988	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	1987	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	1986	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
NML	1985	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2022	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2021	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2020	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2019	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2018	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2017	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2016	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
